TRADER,TRADE_COUNT,PERP_TRADE_COUNT,SPOT_TRADE_COUNT,SHORT_COUNT,LONG_COUNT,AVG_USD_TRADE_SIZE,TOTAL_USD_VOLUME,TOTAL_FEE_AMOUNT,DEFI_INTERACTIONS,Cluster
0xe8db71dbf7db7802e75d988c7afb9063569f631a,2,4,0,2,2,1882.678519609,7530.714078437,1.506294437,0,0
0x6d2f458f533d99f678a4bf67c8772fae75b6273d,2,3,0,2,1,2514.108059727,7542.32417918,1.50861718,0,0
0xf4bbd5cd8c7551796a41e25928f0617a7d1f1cc2,2,5,0,3,2,1511.113598545,7555.567992727,1.511275927,0,0
0x4236d83aa89e7e312d439a3c7553f21fbf5d5d97,5,5,0,4,1,1511.499916108,7557.499580542,1.273836542,0,0
0xcac4bef447ae5c84659ebc01b58612d9514bfacb,2,4,0,2,2,1890.884824804,7563.539299216,1.512859216,0,0
0x675ff70c0ea378c7508de811c7b0f811e57b9f57,2,4,0,2,2,1892.699570802,7570.79828321,1.51431501,0,0
0xcb434b24ba71c768f3622bed6c8e4577c83bfd96,2,4,0,2,2,1897.4114012,7589.6456048,0.7623952,0,0
0x2a980666760d5cd69cb38d8df96a1392ba8d8a7e,2,4,0,2,2,1905.596773268,7622.387093072,1.524630672,0,0
0x50b5ce2ab189ef2c3ba73bd07263b61158991882,2,2,0,1,1,3830.837686643,7661.675373286,1.532487286,0,0
0xac45279b6d93bad5f2714a99440a42d4e2c4ba2c,2,4,0,3,1,1920.607257129,7682.429028517,1.536637117,0,0
0x95d14414b7e34cbcbb49b35648499f038bef2233,2,3,0,2,1,2570.4422536,7711.3267608,0.7732392,0,0
0x22e9b2c3b8e9a1a7e6042e2980575480b6812e63,6,7,0,4,3,1101.70588387,7711.941187093,1.542542853,0,0
0x92ea5bf3d1bb2d4a65a518a42b30d6e8091192c8,1,1,0,0,1,7712.630526105,7712.630526105,1.542526105,0,0
0xfd797499758b1645726fc7fbca5947af6a6ea9ea,2,4,0,2,2,1928.809870042,7715.239480168,1.543202968,0,0
0x37a87fb6fafab7d61f3e59b43a94a9c2fda0b1ea,2,6,0,4,2,1286.760145686,7720.560874114,1.544267314,0,0
0x793bff5ce788796d103a89707e180b4f1ac61830,2,4,0,2,2,1937.615765606,7750.463062426,1.550194426,0,0
